product,entry,kegg,name,formula,metanetx,modelseed,bigg,chebi,metacyc,sabio_rk,reactome,smiles
raspberry ketone,,,,,,,,,,,,
zingerone,C17497,C17497,Zingerone,C11H14O3,MNXM89401,cpd17623,,68657,,,,COc1cc(CCC(C)=O)ccc1O
p-hydroxybenzalacetone,C12088,C12088,4-Hydroxycinnamoylmethane,C10H10O2,MNXM10194,cpd08872,,68636,CPD-8636,,,CC(=O)/C=C/c1ccc(O)cc1
linalool,C03985,C03985,Linalool,C10H18O,MNXM1483,cpd02471;cpd27408,,17580,Linalools,6997,,C=CC(C)(O)CCC=C(C)C
D-glycerate,C00258,C00258,D-Glycerate,C3H6O4,MNXM732052,cpd00223,glyc__R,16659;32398,GLYCERATE,1999;3917,,O=C(O)[C@H](O)CO
Exopolysaccharide,,,,,,,,,,,,
muconic acid,,,,,,,,,,,,
"1,5-Pentanediol",,,,,,,,,,,,
5-hydroxyvalerate,,,,,,,,,,,,
Menaquinone-7,,,,,,,,,,,,
Demethylmenaquinone-7,,,,,,,,,,,,
adipic acid,C06104,C06104,Adipate,C6H10O4,MNXM2800,cpd03642,adpac,17128;30832;30833,ADIPATE,2863,,O=C(O)CCCCC(=O)O
l-serine,C00065,C00065,L-Serine,C3H7NO3,MNXM737787,cpd00054,ser__L,17115;32836;32837;33384,SER,2140;75,R-ALL-200736;R-ALL-352002;R-ALL-379732,N[C@@H](CO)C(=O)O
borneol,C01411,C01411,Borneol,C10H18O,MNXM44588,cpd01010,,28093,,,,CC1(C)C2CCC1(C)C(O)C2
monoterpene alcohol,,,,,,,,,,,,
"(R)-1,3-Butanediol",,,,,,,,,,,,
(R)-3-Hydroxybutyric acid,C01089,C01089,(R)-3-Hydroxybutanoate,C4H8O3,MNXM1104965,cpd00797,bhb,10983;17066,CPD-335,2245,R-ALL-73911,C[C@@H](O)CC(=O)O
"1,3-Butanediol",C20335,C20335,"1,3-Butanediol",C4H10O2,MNXM44971,cpd23328,,52683,CPD-12276,26208,,CC(O)CCO
"Medium-chain α,ω-dicarboxylic acids",,,,,,,,,,,,
medium-chain fatty acids,,,,,,,,,,,,
decanoic acid,C01571,C01571,Decanoic acid,C10H20O2,MNXM1043,cpd01107,dca,27689;30813,CPD-3617,2296,R-ALL-422019;R-ALL-879581;R-ALL-879620,CCCCCCCCCC(=O)O
octanoic acid,C06423,C06423,Octanoic acid,C8H16O2,MNXM750,cpd03846,octa,25646;28837,CPD-195,2889,R-ALL-422042,CCCCCCCC(=O)O
hexanoic acid,C01585,C01585,Hexanoic acid,C6H12O2,MNXM1653,cpd01113,caproic;hxa,17120;30776,HEXANOATE,2297,R-ALL-444194,CCCCCC(=O)O
sebacic acid,C08277,C08277,Sebacic acid,C10H18O4,MNXM730743,cpd05192,sebacid,41865;76283,CPD-3623,,,O=C(O)CCCCCCCCC(=O)O
suberic acid,C08278,C08278,Suberic acid,C8H14O4,MNXM12964,cpd05193,subeac,132953;76282;9300,CPD0-1264,,,O=C(O)CCCCCCC(=O)O
pucheriminic acid,,,,,,,,,,,,
menthol,,,,,,,,,,,,
neomenthol,,,,,,,,,,,,
α-pinene,C09880,C09880,alpha-Pinene,C10H16,MNXM730814,cpd19099,appnn,36740,Alpha-pinene,,,CC1=CCC2CC1C2(C)C
Acetyl-CoA acetyltransferase,,,,,,,,,,,,
Hydroxymethylglutaryl-CoA synthase,,,,,,,,,,,,
Hydroxymethylglutaryl-CoA reductase,,,,,,,,,,,,
violacein + deoxyviolacein,,,,,,,,,,,,
GlaA enzyme activity,,,,,,,,,,,,
Transcript levels of glaA,,,,,,,,,,,,
Total secreted protein per gram biomass,,,,,,,,,,,,
Enzyme activity of GlaA per gram biomass,,,,,,,,,,,,
Intracellular Nicotinamide Adenine Dinucleotide Phosphate,,,,,,,,,,,,
Antibiotic resistance,,,,,,,,,,,,
Hydroxyacetone,C05235,C05235,Hydroxyacetone,C3H6O2,MNXM1744,cpd03105,acetol,27957,ACETOL,2727,,CC(=O)CO
1-dexoxy-D-xylulose-5-phosphate,,,,,,,,,,,,
Cytosine permease-GFP fusion protein,,,,,,,,,,,,
crotonic acid,C01771,C01771,2-Butenoate,C4H6O2,MNXM1107967,cpd01223,,35899;41131,CROTONATE,,,C/C=C/C(=O)O
"1,4-butanediol",,,,,,,,,,,,
catechol production pathway,,,,,,,,,,,,
"catechol production pathway via chorismate, pHBA, PCA, and catechol",,,,,,,,,,,,
β-phellandrene,C19818,C19818,beta-Phellandrene,C10H16,MNXM1958,cpd21061;cpd22464,,48741,Beta-phellandrene,,,C=C1C=CC(C(C)C)CC1
butyryl-CoA,C00136,C00136,Butanoyl-CoA,C25H42N7O17P3S,MNXM1104300,cpd00120,btcoa,15517;57371,BUTYRYL-COA,1942,R-ALL-77318,CCCC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O
hexanoyl-CoA,C05270,C05270,Hexanoyl-CoA,C27H46N7O17P3S,MNXM1103616,cpd03124,hxcoa,27540;62620,HEXANOYL-COA,2747,R-ALL-77326,CCCCCC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O
isovaleryl-CoA,C02939,C02939,3-Methylbutanoyl-CoA,C26H44N7O17P3S,MNXM1104535,cpd01882,ivcoa,15487;57345,ISOVALERYL-COA,2599,R-ALL-70715,CC(C)CC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O
methylmalonyl-CoA,C02557,C02557,Methylmalonyl-CoA,C25H40N7O19P3S,MNXM1107905,cpd01675,,16625;59916,Methylmalonyl-CoA,2446,,CC(C(=O)O)C(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O
L-malate,C00149,C00149,(S)-Malate,C4H6O5,MNXM1107192,cpd00130,mal__L,15589;30797,MAL,1918,R-ALL-113544;R-ALL-198498,O=C(O)C[C@H](O)C(=O)O
Gastrodin,C16964,C16964,Gastrodin,C13H18O7,MNXM54779,cpd17235,,80828,,,,OCc1ccc(O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)cc1
Isopentenol,,,,,,,,,,,,
isopentenol,,,,,,,,,,,,
N-methylputrescine,C02723,C02723,N-Methylputrescine,C5H14N2,MNXM2704,cpd01766,nmptrc,17166;58039,CPD-394,6322,,CNCCCCN
N-methylpyrrolinium,,,,,,,,,,,,
lovastatin,C07074,C07074,Lovastatin,C24H36O5,MNXM60387,cpd04354,,40303,CPD-5561,,,CC[C@H](C)C(=O)O[C@H]1C[C@@H](C)C=C2C=C[C@H](C)[C@H](CC[C@@H]3C[C@@H](O)CC(=O)O3)[C@H]21
monacolin J,,,,,,,,,,,,
4-NO2-L-tryptophan,,,,,,,,,,,,
5-Aminolevulinic acid,,,,,,,,,,,,
Polyhydroxybutyrate,,,,,,,,,,,,
2'-Fucosyllactose,,,,,,,,,,,,
GDP-L-fucose,C00325,C00325,GDP-L-fucose,C16H25N5O15P2,MNXM1106003,cpd23744;cpd27127,gdpfuc,13332;17009;57273;57984,CPD-13118,1562;29056,R-ALL-1463452;R-ALL-205683;R-ALL-742368,C[C@@H]1O[C@H](OP(=O)(O)OP(=O)(O)OC[C@H]2O[C@@H](n3cnc4c(=O)[nH]c(N)nc43)[C@H](O)[C@@H]2O)[C@@H](O)[C@H](O)[C@@H]1O
valienamine,,,,,,,,,,,,
"1,5-diaminopentane",C01672,C01672,Cadaverine,C5H14N2,MNXM943,cpd01155,15dap,18127;58384,CADAVERINE,3091,,NCCCCCN
1-hydroxyphenazine N'10-oxide,,,,,,,,,,,,
erythromycin,C01912,C01912,Erythromycin,C37H67NO13,MNXM1104010,cpd01313,,145339;42355;64268,CPD-13804,5882,,CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(O)C[C@@H](C)C(=O)[C@H](C)[C@@H](O)[C@]1(C)O
reddish pigment,,,,,,,,,,,,
15-methyl-6-deoxyerythronolide B,,,,,,,,,,,,
poly(3-hydroxybutyrate-co-hydroxyhexanoate,,,,,,,,,,,,
poly[(R)-3-hydroxybutyrate-co-3-hydroxypropionate] copolyester,,,,,,,,,,,,
thiacloprid amide,,,,,,,,,,,,
4-hydroxyphenylacetate,C00642,C00642,4-Hydroxyphenylacetate,C8H8O3,MNXM735208,cpd00489,4hphac,18101;48999,4-HYDROXYPHENYLACETATE,,,O=C(O)Cc1ccc(O)cc1
Trehalose synthase,,,,,,,,,,,,
soluble PTTS,,,,,,,,,,,,
L-asparaginase,,,,,,,,,,,,
Ferulic acid,C01494,C01494,Ferulate,C10H10O4,MNXM573,cpd01059,fer,17620;29749,FERULIC-ACID,5619,,COc1cc(/C=C/C(=O)O)ccc1O
3-amino-4-hydroxybenzoic acid,C12115,C12115,3-Amino-4-hydroxybenzoate,C7H7NO3,MNXM5513,cpd08897,,29476;60005,CPD-14873,14151,,Nc1cc(C(=O)O)ccc1O
organic acids,,,,,,,,,,,,
L-isoleucine,C00407,C00407,L-Isoleucine,C6H13NO2,MNXM728337,cpd00322;cpd15139,ile__L,17191;32604;32605;38264;58045,ILE,23116;70,R-ALL-113537;R-ALL-30102;R-ALL-352001,CC[C@H](C)[C@H](N)C(=O)O
fatty acid,C00162,C00162,Fatty acid,CHO2R,MNXM739606,,,,,1927;3036,,*C(=O)O
free palmitic acid,,,,,,,,,,,,
palmitic acid ethyl ester,,,,,,,,,,,,
palmitoleic acid ethyl ester,,,,,,,,,,,,
stearic acid ethyl ester,,,,,,,,,,,,
AmyX,,,,,,,,,,,,
scyllo-inositol,C06153,C06153,scyllo-Inositol,C6H12O6,MNXM727873,cpd03669,,10642,CPD-8050,8424,,O[C@H]1[C@H](O)[C@@H](O)[C@H](O)[C@@H](O)[C@@H]1O
L-valine,C00183,C00183,L-Valine,C5H11NO2,MNXM199,cpd00156;cpd15141,val__L,16414;176648;27266;32851;32852;32859;32860;57762;87977,VAL,23113;68,R-ALL-113540;R-ALL-29702;R-ALL-351992,CC(C)[C@H](N)C(=O)O
(S)-3-methyl-1-pentanol,,,,,,,,,,,,
1-pentanol,C16834,C16834,1-Pentanol,C5H12O,MNXM12601,cpd16586,,44884,PENTANOL,21113,,CCCCCO
1-hexanol,,,,,,,,,,,,
4-methyl-1-pentanol,,,,,,,,,,,,
4-methyl-1-hexanol,,,,,,,,,,,,
5-methyl-1-heptanol,,,,,,,,,,,,
L-homoalanine,,,,,,,,,,,,
trans-2-pentenoate,,,,,,,,,,,,
pentanol,,,,,,,,,,,,
"(2R,3R)-2,3-butanediol",,,,,,,,,,,,
(3R)-acetoin,,,,,,,,,,,,
glycerin,C00116,C00116,Glycerol,C3H8O3,MNXM89612,cpd00100,glyc,17754,GLYCEROL,1303,R-ALL-192438;R-ALL-76116,OCC(O)CO
fatty acids,,,,,,,,,,,,
G-7-ADCA,,,,,,,,,,,,
"cis,cis-muconic acid",,,,,,,,,,,,
3-dehydroshikimic acid,,,,,,,,,,,,
3-hydroxypropionate,C01013,C01013,3-Hydroxypropanoate,C3H6O3,MNXM872,cpd00745,3hpp,16510;33404,3-HYDROXY-PROPIONATE,2214,,O=C(O)CCO
acrylate,C00511,C00511,Acrylic acid,C3H4O2,MNXM728199,cpd00400;cpd20756,acryl,18308;37080,ACRYLATE,2066,,C=CC(=O)O
poly-γ-glutamic acid,,,,,,,,,,,,
hydroxyectoine,,,,,,,,,,,,
glycine,C00037,C00037,Glycine,C2H5NO2,MNXM29,cpd00033,gly,132194;15428;32507;32508;57305,GLY;Phosphorylated-Amino-Acids,66,R-ALL-113545;R-ALL-159549;R-ALL-193446;R-ALL-266029;R-ALL-29424;R-ALL-428557,NCC(=O)O
anthranilic acid,C00108,C00108,Anthranilate,C7H7NO2,MNXM188,cpd00093,anth,16567;30754,ANTHRANILATE,5005,,Nc1ccccc1C(=O)O
MANT,,,,,,,,,,,,
S-ribosyl-L-homocysteine,C03539,C03539,S-Ribosyl-L-homocysteine,C9H17NO6S,MNXM731818,cpd02227,,17575;58195;90364,CPD-564,6692,,N[C@@H](CCSC[C@H]1OC(O)[C@H](O)[C@@H]1O)C(=O)O
L-DOPA,C00355,C00355,"3,4-Dihydroxy-L-phenylalanine",C9H11NO4,MNXM279,cpd00291,34dhphe,15765;57504;67012,L-DIHYDROXY-PHENYLALANINE,2028,R-ALL-209849;R-ALL-5668568,N[C@@H](Cc1ccc(O)c(O)c1)C(=O)O
"1,5-PDO",,,,,,,,,,,,
2-pentanone,C01949,C01949,Pentan-2-one,C5H10O,MNXM4768,cpd01339,,16472,PENTAN-2-ONE,2343,,CCCC(C)=O
Ethylene Glycol,C01380,C01380,Ethylene glycol,C2H6O2,MNXM1107139,cpd00992,,30742,GLYCOL;Sugar-alcohols,2277,,OCCO
Glycolic Acid,C00160,C00160,Glycolate,C2H4O3,MNXM222,cpd00139;cpd12347,glyclt,17497;29805,GLYCOLLATE;Ketoaldonates,1953,R-ALL-389822,O=C(O)CO
p-coumaryl alcohol,C02646,C02646,4-Coumaryl alcohol,C9H10O2,MNXM2944,cpd01722,,28386;64555,COUMARYL-ALCOHOL,6295,,OC/C=C/c1ccc(O)cc1
D-pantothenic acid,,,,,,,,,,,,
l-methionine,C00073,C00073,L-Methionine,C5H11NO2S,MNXM738804,cpd00060,met__L,16643;32631;32632;57844,MET,2315;77,R-ALL-174390;R-ALL-351966;R-ALL-379705,CSCC[C@H](N)C(=O)O
7-O-methyl daidzein,,,,,,,,,,,,
7-O-methyl genistein,,,,,,,,,,,,
recombinant glucose isomerase,,,,,,,,,,,,
carotenoids,,,,,,,,,,,,
shikimate,C00493,C00493,Shikimate,C7H10O5,MNXM602,cpd00383,skm,132329;16119;36208,SHIKIMATE,27314;5117,R-ALL-964932,O=C(O)C1=C[C@@H](O)[C@@H](O)[C@H](O)C1
isoleucine,C16434,C16434,Isoleucine,C6H13NO2,MNXM728337,cpd00322;cpd15139,ile__L,17191;32604;32605;38264;58045,ILE,23116;70,R-ALL-113537;R-ALL-30102;R-ALL-352001,CCC(C)C(N)C(=O)O
diaminopentane,,,,,,,,,,,,
Fumaric acid,C00122,C00122,Fumarate,C4H4O4,MNXM737340,cpd00106,fum,18012;29806;37154,FUM,1910,R-ALL-113588;R-ALL-29586,O=C(O)/C=C/C(=O)O
phenol,C00146,C00146,Phenol,C6H6O,MNXM320,cpd00127,phenol,15882;50526,PHENOL,1947,R-ALL-158858;R-ALL-29630,Oc1ccccc1
phenol,C15584,C15584,Phenol,C6H6O,MNXM320,cpd00127,phenol,15882;50526,PHENOL,1947,R-ALL-158858;R-ALL-29630,Oc1ccccc1
pinocembrin,C09827,C09827,Pinocembrin,C15H12O4,MNXM2889,cpd06719,,28157,CPD-6991,,,O=C1C[C@@H](c2ccccc2)Oc2cc(O)cc(O)c21
trans-cinnamate,C00423,C00423,trans-Cinnamate,C9H8O2,MNXM736095,cpd00333,cinnm,15669;23248;27386;35697,CPD-674,12522;5085,,O=C(O)/C=C/c1ccccc1
ABE,,,,,,,,,,,,
4-amino-3-hydroxybenzoic acid,,,,,,,,,,,,
4-aminobenzoic acid,C00568,C00568,4-Aminobenzoate,C7H7NO2,MNXM421,cpd00443,4abz,17836;30753,P-AMINO-BENZOATE,2099,R-ALL-174970,Nc1ccc(C(=O)O)cc1
poly(3-hydroxybutyrate-co-2-hydroxybutyrate-co-lactate,,,,,,,,,,,,
Hyaluronic acid,C00518,C00518,Hyaluronate,(C14H21NO12)n,MNXM731995,,,,,,,*O[C@@H]1O[C@H](C(=O)O)[C@@H](O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O*)[C@H]2NC(C)=O)[C@H](O)[C@H]1O
Chondroitin,C00401,C00401,Chondroitin,(C14H21NO11)n,MNXM741364,,,,,,,*O[C@@H]1O[C@H](CO)[C@H](O)[C@H](O[C@@H]2O[C@H](C(=O)O)[C@@H](*)[C@H](O)[C@H]2O)[C@H]1NC(C)=O
"Ethanol, formate, acetate, lactate, succinate",,,,,,,,,,,,
3-Phenyllactic acid,,,,,,,,,,,,
IgG binding domains of Staphylococcus aureus Protein A,,,,,,,,,,,,
oxytetracycline,C06624,C06624,Oxytetracycline,C22H24N2O9,MNXM741185,cpd04028,,133011;27701,CPD-19255,,,CN(C)[C@@H]1C(O)=C(C(N)=O)C(=O)[C@@]2(O)C(O)=C3C(=O)c4c(O)cccc4[C@@](C)(O)[C@H]3[C@H](O)[C@@H]12
bhimamycin A,,,,,,,,,,,,
recombinant protein pramlintide multimer,,,,,,,,,,,,
Chloramphenicol acetyltransferase,,,,,,,,,,,,
VP5,,,,,,,,,,,,
organophosphorus hydrolase,,,,,,,,,,,,
recombinant human interleukin-2,,,,,,,,,,,,
p2AROG.3,,,,,,,,,,,,
human basic fibroblast growth factor,,,,,,,,,,,,
"cis-(1S,2R)-indandiol",,,,,,,,,,,,
␣-glucosidase,,,,,,,,,,,,
protocatechuate,C00230,C00230,"3,4-Dihydroxybenzoate",C7H6O4,MNXM1137687,cpd00197;cpd28658;cpd28745,,36062;36241,3-4-DIHYDROXYBENZOATE,1983,R-ALL-175977,O=C(O)c1ccc(O)c(O)c1
not found,,,,,,,,,,,,
3-hydroxydecanoate,,,,,,,,,,,,
Dihydroshikimate,,,,,,,,,,,,
SHIK,,,,,,,,,,,,
E. coli malic enzyme,,,,,,,,,,,,
human insulin-like growth factor I fused to the truncated h-galactosidase,,,,,,,,,,,,
human interferong,,,,,,,,,,,,
4-hydroxybenzaldehyde,C00633,C00633,4-Hydroxybenzaldehyde,C7H6O2,MNXM577,cpd00484,4hbald,17597,4-HYDROXYBENZALDEHYDE,2127,,O=Cc1ccc(O)cc1
7-keto-8-aminopelargonic acid,C01092,C01092,8-Amino-7-oxononanoate,C9H17NO3,MNXM726864,cpd00800,8aonn,12266;149468;15830;57532,8-AMINO-7-OXONONANOATE,5387,,CC(N)C(=O)CCCCCC(=O)O
biotin,C00120,C00120,Biotin,C10H16N2O3S,MNXM304,cpd00104,btn,15956;57586,BIOTIN,1936,R-ALL-199207;R-ALL-199238;R-ALL-29582,O=C(O)CCCC[C@@H]1SC[C@@H]2NC(=O)N[C@H]12
total biotin vitamers,,,,,,,,,,,,
Fuc-1-PA,,,,,,,,,,,,
Biliverdin,C00500,C00500,Biliverdin,C33H34N4O6,MNXM416,cpd00389,biliverd,17033;57991,BILIVERDINE,5120,R-ALL-189396,C=CC1=C(C)/C(=C/C2=N/C(=C\c3[nH]c(/C=C4\NC(=O)C(C)=C4C=C)c(C)c3CCC(=O)O)C(CCC(=O)O)=C2C)NC1=O
Coproporphyrin III,C05770,C05770,Coproporphyrin III,C36H38N4O8,MNXM164684,cpd03418,C05770,131725;27609,COPROPORPHYRIN_III,8129,,CC1=C(CCC(=O)O)c2cc3[nH]c(cc4nc(cc5[nH]c(cc1n2)c(CCC(=O)O)c5C)C(C)=C4CCC(=O)O)c(CCC(=O)O)c3C
Heme,C00032,C00032,Heme,C34H32FeN4O4,MNXM249,,pheme,17627;26355;60344,PROTOHEME,5000,R-ALL-113569;R-ALL-189444;R-ALL-198842;R-ALL-2168843;R-ALL-2230964;R-ALL-2311355;R-ALL-71185;R-ALL-917877;R-ALL-917919,C=CC1=C(C)/C2=C/c3c(C=C)c(C)c4n3[Fe]n3/c(c(C)c(CCC(=O)O)/c3=C/C3=N/C(=C\4)C(C)=C3CCC(=O)O)=C\C1=N2
Uroporphyrin III,C02469,C02469,Uroporphyrin III,C40H38N4O16,MNXM739177,,,15436;167479,UROPORPHYRIN_III,,,O=C(O)CCC1=C(CC(=O)O)c2cc3[nH]c(cc4nc(cc5[nH]c(cc1n2)c(CC(=O)O)c5CCC(=O)O)C(CCC(=O)O)=C4CC(=O)O)c(CC(=O)O)c3CCC(=O)O
(S)-styrene oxide,C20782,C20782,(S)-2-Phenyloxirane,C8H8O,MNXM2034,cpd01413;cpd21909;cpd24037,,17907;51014,2-Phenyloxirane;CPD-13773,27575;5990,,c1ccc([C@H]2CO2)cc1
"acetate, ethanol, formate",,,,,,,,,,,,
Serine Hydroxymethyltransferase,,,,,,,,,,,,
5-epi-aristolochene,C19708,C19708,5-Epiaristolochene,C15H24,MNXM1108021,cpd20956,,23925,CPD-4664,21141,,C=C(C)[C@@H]1CC=C2CCC[C@@H](C)[C@@]2(C)C1
capsidiol,C09627,C09627,Capsidiol,C15H24O2,MNXM733415,cpd06521,,28283,CPD-4661,11716,,C=C(C)[C@@H]1CC=C2[C@H](O)C[C@@H](O)[C@@H](C)[C@@]2(C)C1
valencene,,,,,,,,,,,,
Chloramphenicol acetyltransferase activity,,,,,,,,,,,,
Green Fluorescence Protein,,,,,,,,,,,,
cyanidin 3-O-6 00 -O-malonylglucoside,,,,,,,,,,,,
pelargonidin 3-O-glucoside,C12137,C12137,Pelargonidin 3-O-glucoside,C21H21O10,MNXM1584,cpd08919,,144778;31967,PELARGONIDIN-3-GLUCOSIDE-CMPD,,,OC[C@H]1O[C@@H](Oc2cc3c(O)cc(O)cc3[o+]c2-c2ccc(O)cc2)[C@H](O)[C@@H](O)[C@@H]1O
dihydroxyacetone,C00184,C00184,Glycerone,C3H6O3,MNXM460,cpd00157,dha,16016,DIHYDROXYACETONE,1963,,O=C(CO)CO
DsbA protein with a His6 tag,,,,,,,,,,,,
E. coli alkaline phosphatase,,,,,,,,,,,,
LolAH6,,,,,,,,,,,,
OsmY,,,,,,,,,,,,
OsmY fusion protein with a hexahistidine tag,,,,,,,,,,,,
PpiA protein with a hexahistidine tag,,,,,,,,,,,,
beta-carotene,C02094,C02094,beta-Carotene,C40H56,MNXM736699,cpd01420,caro,17579,CPD1F-129,5998,R-ALL-5164389;R-ALL-975643,CC1=C(/C=C/C(C)=C/C=C/C(C)=C/C=C/C=C(C)/C=C/C=C(C)/C=C/C2=C(C)CCCC2(C)C)C(C)(C)CCC1
echinenone,C08592,C08592,Echinenone,C40H54O,MNXM3591,cpd05499,echin,4746,CPD-7850,,,CC1=C(/C=C/C(C)=C/C=C/C(C)=C/C=C/C=C(C)/C=C/C=C(C)/C=C/C2=C(C)C(=O)CCC2(C)C)C(C)(C)CCC1
poly(3-hydroxybutyrate-co-lactate,,,,,,,,,,,,
6-Deoxyerythronolide B,C03240,C03240,6-Deoxyerythronolide B,C21H38O6,MNXM2496,cpd02075,,16089,CPD-428,,,CC[C@H]1OC(=O)[C@H](C)[C@@H](O)[C@H](C)[C@@H](O)[C@@H](C)C[C@@H](C)C(=O)[C@H](C)[C@@H](O)[C@H]1C
C 12 fatty acids,,,,,,,,,,,,
dodecanoic acid,C02679,C02679,Dodecanoic acid,C12H24O2,MNXM402,cpd01741,ddca,18262;30805,DODECANOATE,2488,R-ALL-33549;R-ALL-449678;R-ALL-879557,CCCCCCCCCCCC(=O)O
C 14 fatty acids,,,,,,,,,,,,
undecane,,,,,,,,,,,,
propanol,C05979,C05979,Propane-1-ol,C3H8O,MNXM6396,cpd03559,ppoh,28831,PROPANOL,2834,,CCCO
Control,,,,,,,,,,,,
Aglycosylated AcrA,,,,,,,,,,,,
Aglycosylated AcrA and Glycosylated AcrA,,,,,,,,,,,,
Glycosylated AcrA,,,,,,,,,,,,
b-aminopeptidase 3-2W4 BapA,,,,,,,,,,,,
"2,3-Butanediol",,,,,,,,,,,,
Glutathione S-transferase,,,,,,,,,,,,
furfuryl alcohol,C20441,C20441,Furfuryl alcohol,C5H6O2,MNXM54041,cpd24179,,207496,CPD-14102,,,OCc1ccco1
2-(3-hydroxy-1-adamantyl)-(2S)-aminoethanoic acid,,,,,,,,,,,,
L-tert-leucine,,,,,,,,,,,,
farnesene,,,,,,,,,,,,
fatty acid ethyl esters,,,,,,,,,,,,
C15-FAEE,,,,,,,,,,,,
ethyl pentadecanoate,,,,,,,,,,,,
D-sorbose and D-psicose,,,,,,,,,,,,
recombinant human hemoglobin,,,,,,,,,,,,
botryococcene,,,,,,,,,,,,
premnaspirodiene,,,,,,,,,,,,
a-farnesene,,,,,,,,,,,,
beta-farnesene,C09666,C09666,beta-Farnesene,C15H24,MNXM735671,cpd06560,,10418,CPD-8239,11755,,C=CC(=C)CC/C=C(\C)CCC=C(C)C
santalene,,,,,,,,,,,,
Ethanolamine,C00189,C00189,Ethanolamine,C2H7NO,MNXM218,cpd00162,etha;etham,16000;57603,ETHANOL-AMINE,1965,R-ALL-1498751,NCCO
fatty aldehydes,,,,,,,,,,,,
styrene,C07083,C07083,Styrene,C8H8,MNXM732935,cpd04358;cpd20761,,27452,CPD-1092,9200,,C=Cc1ccccc1
Propionic acid,C00163,C00163,Propanoate,C3H6O2,MNXM1094052,cpd00141,ppa;prpnte,17272;30768,PROPIONATE,1955,R-ALL-429737;R-ALL-429754,CCC(=O)O
dammarenediol-II,C19829,C19829,Dammarenediol-II,C30H52O2,MNXM4560,cpd21072,,62416,CPD-9240,,,CC(C)=CCC[C@](C)(O)[C@H]1CC[C@]2(C)[C@@H]1CC[C@@H]1[C@@]3(C)CC[C@H](O)C(C)(C)[C@@H]3CC[C@]12C
2-FL,,,,,,,,,,,,
phenazine-1-carboxamide,,,,,,,,,,,,
pyocyanin,C01748,C01748,Pyocyanine,C13H10N2O,MNXM732503,cpd01206,,62220;8653,CPD-12847,,,C[n+]1c2ccccc2nc2c([O-])cccc21
formic acid,C00058,C00058,Formate,CH2O2,MNXM39,cpd00047;cpd22511,for,15740;30751,CARBOXYL-GROUP;CPD1G-1532;CPD1G-1533;CPD1G-1534;CPD1G-1535;FORMATE,1285,R-ALL-29460;R-ALL-389585;R-ALL-444084,O=CO
12-hydroxydodecanoic acid methyl ester,,,,,,,,,,,,
Shikimate,C00493,C00493,Shikimate,C7H10O5,MNXM602,cpd00383,skm,132329;16119;36208,SHIKIMATE,27314;5117,R-ALL-964932,O=C(O)C1=C[C@@H](O)[C@@H](O)[C@H](O)C1
coniferyl alcohol,C00590,C00590,Coniferyl alcohol,C10H12O3,MNXM880,cpd00458,confrl,17745,CONIFERYL-ALCOHOL,5148,,COc1cc(/C=C/CO)ccc1O
pinoresinol,,,,,,,,,,,,
Ketoisocaproic acid,,,,,,,,,,,,
alpha-keto glutaric acid,C00026,C00026,2-Oxoglutarate,C5H6O5,MNXM20,cpd00024,akg,16810;30915;30916,2-KETOGLUTARATE,1922,R-ALL-113594;R-ALL-113671;R-ALL-1650779;R-ALL-29406;R-ALL-389537;R-ALL-561075,O=C(O)CCC(=O)C(=O)O
α-keto acid PPA,,,,,,,,,,,,
Keto-Methylthiobutyric acid,,,,,,,,,,,,
Isopropyl alcohol,C01845,C01845,Propan-2-ol,C3H8O,MNXM3085,cpd01269,2ppoh,17824,ISO-PROPANOL,2324,,CC(C)O
itaconic acid,C00490,C00490,Itaconate,C5H6O4,MNXM1747,cpd00380,itacon,17240;30838,ITACONATE,2059,,C=C(CC(=O)O)C(=O)O
psi-ionone,,,,,,,,,,,,
retinal,C00376,C00376,Retinal,C20H28O,MNXM1105990,cpd00304,retinal,17898,RETINAL,,R-ALL-2466098;R-ALL-30048;R-ALL-5623648;R-ALL-975622,CC1=C(/C=C/C(C)=C/C=C/C(C)=C/C=O)C(C)(C)CCC1
